episode,total_reward,avg_reward_per_agent_decision,avg_loss,epsilon,scenario
125,-35.2730,-0.016330,0.002288,0.3071,corridor_stress seed 42
126,-34.1560,-0.015813,0.002126,0.3015,evening_rush seed 42
127,-43.5845,-0.020178,0.002330,0.2959,morning_rush seed 42
128,-93.1160,-0.043109,0.002273,0.2903,off_peak seed 42
129,-34.5645,-0.016002,0.002255,0.2847,corridor_stress seed 43
130,-40.2340,-0.018627,0.002291,0.2791,evening_rush seed 43
131,-47.1376,-0.021823,0.002298,0.2735,morning_rush seed 43
132,-92.5782,-0.042860,0.002365,0.2679,off_peak seed 43
133,-35.4018,-0.016390,0.002350,0.2624,corridor_stress seed 41
134,-35.2390,-0.016314,0.002389,0.2568,evening_rush seed 41
135,-42.0971,-0.019489,0.002393,0.2512,morning_rush seed 41
136,-87.7337,-0.040617,0.002376,0.2456,off_peak seed 41
137,-35.8063,-0.016577,0.002486,0.2400,corridor_stress seed 42
138,-31.5828,-0.014622,0.002408,0.2344,evening_rush seed 42
139,-43.5336,-0.020154,0.002455,0.2288,morning_rush seed 42
140,-84.5952,-0.039164,0.002572,0.2232,off_peak seed 42
141,-36.0810,-0.016704,0.002378,0.2176,corridor_stress seed 43
142,-30.7224,-0.014223,0.002527,0.2121,evening_rush seed 43
143,-45.1896,-0.020921,0.002478,0.2065,morning_rush seed 43
144,-84.2634,-0.039011,0.002561,0.2009,off_peak seed 43
145,-35.8668,-0.016605,0.002496,0.1953,corridor_stress seed 41
146,-32.6941,-0.015136,0.002589,0.1897,evening_rush seed 41
147,-40.8715,-0.018922,0.002659,0.1841,morning_rush seed 41
148,-71.2784,-0.032999,0.002539,0.1785,off_peak seed 41
149,-33.4803,-0.015500,0.002562,0.1729,corridor_stress seed 42
150,-31.8450,-0.014743,0.002548,0.1674,evening_rush seed 42
151,-44.3405,-0.020528,0.002586,0.1618,morning_rush seed 42
152,-73.5608,-0.034056,0.002613,0.1562,off_peak seed 42
153,-34.8129,-0.016117,0.002602,0.1506,corridor_stress seed 43
154,-31.8311,-0.014737,0.002600,0.1450,evening_rush seed 43
155,-42.6121,-0.019728,0.002646,0.1394,morning_rush seed 43
156,-73.9191,-0.034222,0.002597,0.1338,off_peak seed 43
157,-36.2372,-0.016776,0.002844,0.1282,corridor_stress seed 41
158,-32.1575,-0.014888,0.002768,0.1226,evening_rush seed 41
159,-42.3605,-0.019611,0.002688,0.1171,morning_rush seed 41
160,-63.0571,-0.029193,0.002762,0.1115,off_peak seed 41
161,-35.6835,-0.016520,0.002701,0.1059,corridor_stress seed 42
162,-30.3760,-0.014063,0.002903,0.1003,evening_rush seed 42
163,-43.4223,-0.020103,0.002883,0.0947,morning_rush seed 42
164,-67.2076,-0.031115,0.002918,0.0891,off_peak seed 42
165,-35.3034,-0.016344,0.002807,0.0835,corridor_stress seed 43
166,-31.9376,-0.014786,0.002724,0.0779,evening_rush seed 43
167,-44.2155,-0.020470,0.003098,0.0724,morning_rush seed 43
168,-77.2682,-0.035772,0.002886,0.0668,off_peak seed 43
169,-34.9150,-0.016164,0.002915,0.0612,corridor_stress seed 41
170,-31.0045,-0.014354,0.002905,0.0556,evening_rush seed 41
171,-39.0946,-0.018099,0.002935,0.0500,morning_rush seed 41
172,-69.6862,-0.032262,0.002965,0.0500,off_peak seed 41
173,-34.5526,-0.015997,0.003053,0.0500,corridor_stress seed 42
174,-29.1029,-0.013474,0.003001,0.0500,evening_rush seed 42
175,-39.3872,-0.018235,0.003171,0.0500,morning_rush seed 42
176,-73.3649,-0.033965,0.003023,0.0500,off_peak seed 42
177,-34.4588,-0.015953,0.003320,0.0500,corridor_stress seed 43
178,-29.1495,-0.013495,0.003120,0.0500,evening_rush seed 43
179,-40.2429,-0.018631,0.003084,0.0500,morning_rush seed 43
180,-66.9071,-0.030976,0.003205,0.0500,off_peak seed 43
181,-34.3835,-0.015918,0.002908,0.0500,corridor_stress seed 41
182,-40.9444,-0.018956,0.003126,0.0500,evening_rush seed 41
183,-40.1682,-0.018596,0.003091,0.0500,morning_rush seed 41
184,-64.5903,-0.029903,0.003254,0.0500,off_peak seed 41
185,-33.5302,-0.015523,0.003122,0.0500,corridor_stress seed 42
186,-31.7682,-0.014708,0.003212,0.0500,evening_rush seed 42
187,-42.1483,-0.019513,0.003255,0.0500,morning_rush seed 42
188,-70.5862,-0.032679,0.003291,0.0500,off_peak seed 42
189,-34.5136,-0.015979,0.003244,0.0500,corridor_stress seed 43
190,-34.6121,-0.016024,0.003251,0.0500,evening_rush seed 43
191,-40.1410,-0.018584,0.003149,0.0500,morning_rush seed 43
192,-67.0639,-0.031048,0.003513,0.0500,off_peak seed 43
193,-34.5748,-0.016007,0.003287,0.0500,corridor_stress seed 41
194,-26.1803,-0.012121,0.003342,0.0500,evening_rush seed 41
195,-38.8259,-0.017975,0.003361,0.0500,morning_rush seed 41
196,-68.8368,-0.031869,0.003219,0.0500,off_peak seed 41
197,-34.5153,-0.015979,0.003510,0.0500,corridor_stress seed 42
198,-27.8629,-0.012899,0.003178,0.0500,evening_rush seed 42
199,-40.8676,-0.018920,0.003341,0.0500,morning_rush seed 42
200,-69.0531,-0.031969,0.003302,0.0500,off_peak seed 42
